number_people,date,timestamp,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour,Date.only
37,2015-08-14 17:00:11-07:00,61211,4,0,0,71.76,0,0,8,17,2015-08-14
45,2015-08-14 17:20:14-07:00,62414,4,0,0,71.76,0,0,8,17,2015-08-14
40,2015-08-14 17:30:15-07:00,63015,4,0,0,71.76,0,0,8,17,2015-08-14
44,2015-08-14 17:40:16-07:00,63616,4,0,0,71.76,0,0,8,17,2015-08-14
45,2015-08-14 17:50:17-07:00,64217,4,0,0,71.76,0,0,8,17,2015-08-14
46,2015-08-14 18:00:18-07:00,64818,4,0,0,72.15,0,0,8,18,2015-08-14
43,2015-08-14 18:20:08-07:00,66008,4,0,0,72.15,0,0,8,18,2015-08-14
53,2015-08-14 18:30:09-07:00,66609,4,0,0,72.15,0,0,8,18,2015-08-14
54,2015-08-14 18:40:14-07:00,67214,4,0,0,72.15,0,0,8,18,2015-08-14
43,2015-08-14 18:50:15-07:00,67815,4,0,0,72.15,0,0,8,18,2015-08-14
39,2015-08-14 19:00:16-07:00,68416,4,0,0,69.97,0,0,8,19,2015-08-14
38,2015-08-14 19:20:07-07:00,69607,4,0,0,69.97,0,0,8,19,2015-08-14
45,2015-08-14 19:30:08-07:00,70208,4,0,0,69.97,0,0,8,19,2015-08-14
41,2015-08-14 19:40:14-07:00,70814,4,0,0,69.97,0,0,8,19,2015-08-14
36,2015-08-14 19:50:16-07:00,71416,4,0,0,69.97,0,0,8,19,2015-08-14
42,2015-08-14 20:00:17-07:00,72017,4,0,0,68.8,0,0,8,20,2015-08-14
35,2015-08-14 20:21:14-07:00,73274,4,0,0,68.8,0,0,8,20,2015-08-14
36,2015-08-14 20:31:14-07:00,73874,4,0,0,68.8,0,0,8,20,2015-08-14
48,2015-08-14 20:41:15-07:00,74475,4,0,0,68.8,0,0,8,20,2015-08-14
40,2015-08-14 20:51:17-07:00,75077,4,0,0,68.8,0,0,8,20,2015-08-14
0,2015-08-15 07:00:22-07:00,25222,5,1,0,66.8,0,0,8,7,2015-08-15
0,2015-08-15 07:20:11-07:00,26411,5,1,0,66.8,0,0,8,7,2015-08-15
0,2015-08-15 07:30:12-07:00,27012,5,1,0,66.8,0,0,8,7,2015-08-15
3,2015-08-15 07:40:13-07:00,27613,5,1,0,66.8,0,0,8,7,2015-08-15
2,2015-08-15 07:50:15-07:00,28215,5,1,0,66.8,0,0,8,7,2015-08-15
6,2015-08-15 08:00:16-07:00,28816,5,1,0,67.8,0,0,8,8,2015-08-15
15,2015-08-15 08:20:11-07:00,30011,5,1,0,67.8,0,0,8,8,2015-08-15
22,2015-08-15 08:30:13-07:00,30613,5,1,0,67.8,0,0,8,8,2015-08-15
18,2015-08-15 08:40:14-07:00,31214,5,1,0,67.8,0,0,8,8,2015-08-15
21,2015-08-15 08:50:16-07:00,31816,5,1,0,67.8,0,0,8,8,2015-08-15
26,2015-08-15 09:00:18-07:00,32418,5,1,0,69.55,0,0,8,9,2015-08-15
23,2015-08-15 09:20:11-07:00,33611,5,1,0,69.55,0,0,8,9,2015-08-15
23,2015-08-15 09:30:13-07:00,34213,5,1,0,69.55,0,0,8,9,2015-08-15
28,2015-08-15 09:40:14-07:00,34814,5,1,0,69.55,0,0,8,9,2015-08-15
23,2015-08-15 09:50:16-07:00,35416,5,1,0,69.55,0,0,8,9,2015-08-15
22,2015-08-15 10:00:17-07:00,36017,5,1,0,70.36,0,0,8,10,2015-08-15
